gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj),np_score
Gadd45b,0.3861476901907317,0.0971143604128949,0.6331228172704032,1.0127165457156286,0.19851203454982547,0.0103546023789998
Slamf1,0.5080969568069373,0.5938070318245576,0.9472824518443268,0.22635466382228964,0.023520507810153815,0.0102792098596089
Cybb,-1.6286535367552173,0.0037960325946306,0.1228565814302955,2.420670067159541,0.9106015733939128,0.0101808718430393
Cd48,-2.864177155044681,0.0156505035454867,0.2806525652956673,1.8054716847304297,0.5518309837715454,0.0137335025153166
Clpx,0.2019180976308813,0.3828088675719263,0.8806419066626046,0.4170180105687826,0.05520065183210951,0.0150455376718975
Ace2,0.1565901371726991,0.5906129617582236,0.9466627998849,0.22869702611746656,0.02380468860792093,0.0112375
Ager,-0.6830890048776069,0.472739280302447,0.9097760350167046,0.3253783103058269,0.04106550737975334,0.01165
Notch4,0.2215729083760798,0.2852508307477794,0.8379373267988592,0.5447730820941437,0.07678846304430177,0.0106594759499084
Arnt,-0.1444945735793904,0.5620712528782443,0.939489765817662,0.25020862612070555,0.027107946455552073,0.01
Itga2,-1.1526867795917723,0.2152490081773717,0.7878556060635092,0.667058841008277,0.10355337037340934,0.0122784455289859
Lpl,-0.6727394095682765,0.0467127477725237,0.4758946201408956,1.3305645855628696,0.32248920475436044,0.0120882707110209
Atp6v0e,0.4339872895921451,0.0762111092127435,0.5843721696141533,1.117981717398822,0.23331047526820997,0.0105573105897962
Srf,-0.1495731983104988,0.5189100886007084,0.9229024621243564,0.2849078857108814,0.03484419539827846,0.0102657439573655
Gata3,0.3671726370062199,0.5608391258290935,0.9393730954973264,0.25116169629148655,0.027161882564921212,0.0102823163908121
Lama5,-0.5337713351761936,0.0089565219623765,0.212447102887219,2.047860604823419,0.6727491869499582,0.0113299068173803
Hspa8,0.1697432042522072,0.4766726831559944,0.9115847796396978,0.32177973562182005,0.04020293466945358,0.0149416767818536
Psma2,0.5530543629843999,0.0284424142919613,0.3702474744168694,1.5460335419375428,0.43150789526606026,0.0103464379462495
Mrpl32,0.2789086121533254,0.3551427294519206,0.8718567219942385,0.44959707185841113,0.059554879700358804,0.0105618172691423
Setdb1,-0.0094352982632725,0.968973661427922,0.997813679077518,0.013688027750035713,0.0009505465913025719,0.010621295686062
Cers2,0.2792612571755054,0.170479958920536,0.7433257624282045,0.7683266679430021,0.12882081501553522,0.0123335714285714
Vps45,0.2877419665164558,0.3717232063494285,0.8788116726540293,0.42978032543937517,0.05610418327682607,0.0135208633020438
Prpf3,0.275354882661166,0.2927831207987119,0.8439929836818488,0.5334539643461609,0.07366116375458444,0.0113276667367014
Anp32e,0.1487067905119161,0.4957246168813989,0.9178396370250336,0.3047595141989432,0.037233191172250386,0.0105210526315789
Aph1a,-0.0966553086890256,0.7714465573281826,0.974786149675392,0.11269415470957182,0.011090650150303414,0.0107244752698027
Tab2,-0.1822460431852354,0.3174888306991602,0.8561365668775045,0.4982715486430158,0.06745695318427893,0.0106344076529841
Med22,0.128264646217537,0.5849431229814466,0.9448425410205789,0.2328863605437796,0.024640561081920066,0.0106976186423867
Med28,0.7836603457726223,0.0002089538021169,0.0167088415335687,3.6799497220395407,1.7770536598025584,0.0106976186423867
Qdpr,0.5274586556684973,0.0178550129756791,0.2964423923387911,1.7482398298585538,0.5280596905633352,0.010546613499019
Gnrh1,0.0011584008203183,0.9987292822724748,0.9999260987320197,0.0005522166272033195,3.209609887532843e-05,0.0100693019356162
Sqstm1,0.3533945200308443,0.1574482624990321,0.7338300499880023,0.8028621276044219,0.13440450806554347,0.0112751824113312
Nfe2l2,0.1498407965653253,0.4637426497973096,0.9070165221605158,0.3337229607790898,0.04238480178468245,0.0127581055294736
Rxra,-0.2257658929199028,0.3045987611924793,0.8492637792014649,0.5162718672782574,0.07095739802565387,0.013186729982063
Prpsap1,0.130316271631215,0.5463366236673985,0.9323401573621536,0.262539685585481,0.030425609627489695,0.0133
Ncapg,-0.6470284741171344,0.1844998776763959,0.7567826701968474,0.7340039174425028,0.1210288215376244,0.0102567595123642
Lta4h,0.2074853436142293,0.4702043740402677,0.9083020873889006,0.327713335201049,0.04176968774881983,0.0100581732197615
Dstn,0.1081378658007146,0.5769958550139405,0.9432106337230004,0.23882730669009022,0.02539131166488783,0.012475
Fcgr1,-1.6910833125587983,0.4954450342083253,0.9178396370250336,0.3050045201174324,0.037233191172250386,0.013121981037303
Ncf1,-1.4778515144975983,0.3326689336077226,0.8613778616279261,0.4779877539634429,0.06480629428270777,0.0101808718430393
Adss2,-0.0590567071895539,0.7801666951406647,0.974786149675392,0.10781259340561403,0.011090650150303414,0.0113415319456344
Il17rb,-0.3898251908904179,0.5227640069224653,0.92412364995441,0.2816943218816175,0.0342699152516461,0.0107715534443751
Cacna1d,0.0465707473801006,0.9172529027085508,0.9915306140522956,0.0375109052157196,0.0036938721710079096,0.0101327419117608
Mtrex,-0.1580675335086966,0.5593484152120666,0.9390217295599048,0.25231758805700727,0.027324357767147235,0.0108551589200268
Fli1,0.224357776515261,0.3053598045243307,0.8496819511836512,0.5151881310718988,0.07074360686709065,0.0102657439573655
Utp25,0.204558678255928,0.4119362427862993,0.893119479647373,0.38516999646392314,0.0490904382216721,0.0102158353552126
Atp5f1e,0.571037371657635,0.038053900127868,0.4316819209068367,1.4196008259575292,0.36483613947162724,0.0102613587767916
Nelfcd,0.3784661686992889,0.1868624017076149,0.7590526913852926,0.7284780735464804,0.11972807550952623,0.0100851511171718
