Gene,Betweenness Centrality
Yap1,0.0024937851856108935
Ecsit,0.0024796389240411753
Itpkc,0.002468649379012931
Itpr1,0.0024645118955240017
Polr2b,0.0024440692266396377
Mettl1,0.00243731470117283
Tubb5,0.002423115400721454
Kpna1,0.0024156063554725818
Casq1,0.002409620080585484
Trh,0.002401701374446826
Shc1,0.002392760234698432
Fasn,0.002392469682607619
Egf,0.0023820899385543475
Ap4m1,0.0023811565542961577
Gtf2h4,0.002373586767146111
Med14,0.002370933057614656
Tiam1,0.0023620591285173943
Ifng,0.002357786402561029
Kat5,0.0023509338185378065
Atp5f1d,0.0023446021715436177
Ampd3,0.0023423809287091016
Mki67,0.002341615211140893
Sirt1,0.0023343644091777197
Bdkrb2,0.0023196802168611954
Tbx21,0.0023129132993893868
Fn1,0.0023118577354547575
Stat1,0.002307010876281372
Tardbp,0.0022945776367175085
Prodh,0.002290731821110716
Lpl,0.002262362731788077
Ywhaz,0.0022583311916101636
Rtca,0.0022485801408693917
Epha2,0.0022470649277106128
Orm3,0.002246530422130085
Tomm40l,0.0022396248695728898
Lhx2,0.0022381153559860784
Fkbp10,0.00223810809415141
Gdf15,0.0022374866718973185
Tuft1,0.002237213330989161
Mrc1,0.002217368368938288
Plxnb3,0.0021954686224112995
Mapk3,0.0021941642712497095
G6pc2,0.00219413619998165
Asf1b,0.0021903120635855776
Mrpl49,0.0021693244474639654
Ppan,0.002165565211985208
Cyp4f18,0.0021592874584436656
Tyms,0.0021480761472712716
Ins2,0.002145602952283257
Ins1,0.002145602952283257
Foxp3,0.002140849614533956
Cftr,0.002126454436219552
4930544G11Rik,0.002125123224060912
Comt,0.0021168479316538056
Acvrl1,0.0021152851261827424
Nherf1,0.002104917804622026
Gnrh1,0.0021042936615128342
Pik3ca,0.002094602334069253
Fosb,0.0020829433067845963
Sec13,0.0020655325165187047
Nkx2-1,0.0020624776834020082
Adsl,0.002054361026995039
Exosc10,0.00205014139999819
Cul1,0.002047004912560106
Eef1a1,0.002046480038263864
Msh4,0.0020453619751696463
Nfkb1,0.0020307748665626094
Prkra,0.0020040153511115977
Sod1,0.0019992397276230446
Pik3cd,0.0019906144302625677
Mysm1,0.001987835871709041
Arrb2,0.0019866619830707258
Cct5,0.0019850872323437445
Ciao1,0.001966025685617141
Pik3r1,0.0019640422344531015
Lmna,0.001956407642103819
Kras,0.001944664744030076
Stx4a,0.001938041242391249
Gmps,0.001935660371955468
