gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,Acute-log10(p_value),Acute-log10(padj),np_score
Nifk,-0.1644501647762925,0.4516418032972695,0.8436130470818543,0.34520586723177676,0.07385671220443658,0.0110017403610664
Ptprc,-0.2259663440202142,0.6769123048213638,0.927268286386128,0.16946759128396724,0.03279459332069914,0.0122670188035755
Pfkfb2,-0.1766882784961571,0.3284092927782964,0.7680438463551322,0.4835845624379929,0.11461398610581819,0.010228889496189
Eif2d,0.2421833361653811,0.363663279664965,0.7918812866532743,0.4393005489425006,0.1013399199455044,0.010317523681888
Ube2t,-0.3060801269816782,0.621043745759982,0.9108208189862088,0.20687780743528605,0.040567051105319094,0.0107120787739388
Rassf5,0.100629231414564,0.8407682989599474,0.969780972450852,0.07532367167809505,0.013326341194577738,0.0107001652715617
Elk4,-0.1407086955132048,0.4022295955235005,0.8158148764189231,0.39552597774804377,0.08840837956839413,0.0101115981465223
Rbbp5,-0.0038422000977644,0.986747870349242,0.9977974839111482,0.005793802248454799,0.0009575955310143619,0.0116711699968409
Pik3c2b,-0.2945573145354291,0.3098850911021867,0.7575127963026127,0.5087993176226242,0.1206100264340082,0.0103496905751224
Klhl12,0.1129078602662418,0.6177463495735376,0.9104250807293852,0.2091898122791867,0.040755786677982,0.010396
Atp2b4,-0.1815648136406493,0.5416245455976636,0.8832200342674652,0.26630166231392244,0.05393108830925173,0.0101324204303692
Stx6,-0.1039769318150422,0.5524327376235182,0.886827179116254,0.25772059267856595,0.05216100527413473,0.0114314726196902
Glul,0.7727414974816283,0.0002866602488153,0.0088178065758355,3.542632526506216,2.054639431929364,0.0153039605037135
Rgs16,-0.5211891044360264,0.0445580984017978,0.3093175020135618,1.3510733517487836,0.5095955057554219,0.0101164315212647
Lamc1,-0.5952660226322026,0.0490647879768058,0.3270490689924545,1.3092300735278306,0.485387082832322,0.0113294270656049
Lamc2,-2.9235253519433537,4.970805762227615e-05,0.0022683646972645,4.303573206895369,2.6442871202921086,0.0108899122204696
Ncf2,-0.1550818210846996,0.7551850074910045,0.9494994887598828,0.12194664056983716,0.022505264764585156,0.010180700409039
Rgl1,0.0246271992932892,0.8841420454764373,0.9788443292268229,0.053477956015393985,0.00928637084593767,0.0105823529411764
Ahctf1,-0.1344044484166556,0.4588707492494184,0.8466273751743126,0.33830962555757726,0.07230769299060158,0.0102482822008988
Tfb2m,0.2879844471965014,0.2200722849505838,0.6709266040303556,0.6574346473644618,0.1733249868474819,0.01020578841907
Parp1,-0.0766263465455588,0.7432394576552552,0.9464288027843104,0.1288712422503306,0.02391205124155332,0.0107918222827184
Capn2,-0.2084705306812197,0.2593036696983561,0.7098170374606153,0.5861913369966766,0.1488535806628002,0.0117618091228521
Srp9,-0.1220871769195923,0.5726255277993367,0.8942776660838648,0.24212929491857316,0.04852761529227195,0.0100515114459618
Nvl,-0.0935434627353112,0.6937224240678979,0.9318361611880392,0.15881426702338722,0.03066044016414347,0.0105093829154735
Pycr2,0.171320107483573,0.5850910117586579,0.8978190341966783,0.2327765735242161,0.04681119158422348,0.01099
Fh1,-0.2291583911409043,0.2898097306310494,0.7389213390699831,0.5378870367791846,0.13140179141047834,0.0104561730263783
Spta1,-0.045658925886986,0.9124291433382072,0.9828215611604688,0.039800851640858025,0.007525324525797109,0.0115075216972058
Vangl2,0.5423751295454033,0.0549008466527122,0.3476076202814083,1.2604209580314059,0.45891071148145246,0.0104656917593416
Uck2,-1.2008192953285313,0.0001963301526341,0.0065609755211936,3.7070129957796665,2.1830315825795967,0.01061875
Tada1,-0.4763160532965117,0.0240457642566711,0.2149547219216961,1.6189614150060483,0.6676530102724338,0.0114705290354751
Pou2f1,0.1711796531798163,0.333124072327197,0.7714360139650503,0.477393983036453,0.11270009025452422,0.0102977841089001
Adcy10,0.2584507181621981,0.5635597245239334,0.892241904664441,0.24906005183312027,0.04951738372031169,0.0101324204303692
Atp1b1,0.0209502205341645,0.9352345287157476,0.9873201344046026,0.02907946746437841,0.005542006334840787,0.0101324204303692
Selp,-3.038405582157552,1.90735545956206e-08,3.1950277160120555e-06,7.719568363199053,5.495525370100609,0.0103017396825405
Sell,-0.5357142664250304,0.5506807040233678,0.8865603677507865,0.25910014102914697,0.052291687036066146,0.0120708104570106
Sele,-2.758460460154973,7.933688727438453e-15,8.151071798570267e-12,14.100524842758734,11.088785281370416,0.0103017396825405
Cenpf,0.0026147125317952,0.9939026632075348,0.9989567872962618,0.002656145684938658,0.0004532980049350684,0.0100920617556893
Eprs1,-0.3221020823850402,0.1045890897920777,0.4837402349296847,0.9805136165225048,0.3153877888132552,0.017383315360281
Cr2,0.4606044087755395,0.3360290629805876,0.7743875582106335,0.4736231590796481,0.1110416332873097,0.0203197170300282
Iars2,-0.063995052951498,0.7513436447968861,0.9485391156212164,0.12416138269769589,0.02294475507771354,0.0115754865521337
Nek2,0.203327361052349,0.7656114326191319,0.9506634740264056,0.11599159000873213,0.021973192040931597,0.0100920617556893
Ppp2r5a,0.1638127020339795,0.3387526098745941,0.7751363065911185,0.4701173501403618,0.11062192072569751,0.0104627677524345
Atf3,0.4685805122109064,0.049502534864441,0.3282043165701989,1.3053725616835539,0.48385571136857397,0.0105888518920639
Plxna2,-0.0525920270512186,0.7923469873820227,0.9590684434923306,0.1010845889861291,0.018150398491094913,0.0127661627999806
Usf1,0.2420056865220831,0.4373624963245941,0.8373322260089139,0.35915846029607146,0.07710219398396613,0.0102977841089001
Dclre1c,0.3174673153338879,0.1386529491491329,0.5501494848963149,0.8580708885414147,0.2595192893333823,0.0103733250774497
Sephs1,-0.011442535296952,0.9508927425666092,0.9912621228633496,0.021868467225017087,0.0038114883396983055,0.0111
Atf6,-0.5260768792197124,0.0034602332686625,0.0587981987182927,2.460894622629745,1.2306359783233238,0.0109
Phyh,0.2702345447175824,0.2837660173915169,0.7325078416548589,0.5470396150202457,0.13518772173261692,0.01
Mcm10,-0.1816532948024375,0.7692274481142864,0.9520208964736,0.11394522735621539,0.02135351892269346,0.0109346116540816
Optn,-0.4980467779134732,0.1036361886685103,0.4812103957729475,0.9844885670357971,0.3176649990004013,0.0102227433406385
