Gene,Closeness Centrality
Ctnnbip1,0.2266972540943647
Cdh8,0.2266972540943647
Bcl9l,0.2266972540943647
Csnk2a2,0.2266972540943647
Arhgap10,0.2266972540943647
Cdh13,0.2266972540943647
Prop1,0.2266972540943647
Dvl3,0.2266972540943647
Reck,0.2266972540943647
Siah1b,0.2266972540943647
Magi1,0.2266972540943647
Lima1,0.2266972540943647
Tiam1,0.2264706202977334
Utp20,0.22634390319273487
Tab1,0.22633485739690748
Rapgef3,0.2262354013416458
Nras,0.22612700346517942
Uba52,0.22603675121873554
Gm8797,0.22603675121873554
Tbk1,0.2260096895915643
Pdgfb,0.22596460127620072
Ifng,0.2259105190388695
Grin1,0.2258474558057672
Adipoq,0.22562251710232337
E2f1,0.22562251710232337
Jak2,0.22555961453661857
Cdk5,0.22552368595832348
Fosb,0.22549674703505548
Ncor1,0.2254787913280017
Ly96,0.22545186312840043
Rps9,0.2254249413599259
Grin2b,0.2253262831934996
Calml4,0.22498612751411962
Ppard,0.2249503813864561
Mavs,0.2248878529875479
Ikbke,0.2248878529875479
Calml3,0.2248610657422941
Calm5,0.2248610657422941
Calm4,0.2248610657422941
Klf5,0.2247896642766301
Gabarap,0.22470047618574113
Malt1,0.22466482076267133
Bcl10,0.22466482076267133
Ncor2,0.2244422304833123
Cxcr4,0.22443333604602594
Birc3,0.22436220591812925
Birc2,0.22436220591812925
Rdx,0.22429112086278888
Stk11,0.2242200808371771
Fgf4,0.22418457769715064
S100a4,0.22411360513594852
Pgr,0.22408700200947332
Fgf10,0.22402495260227132
Itgb7,0.2239717947395958
Atp5f1a,0.22392751578764852
Atp5f1c,0.22381247240694824
Itga2,0.223759415321431
Med14,0.2236533765810528
Ern1,0.22361805266466947
Igfbp3,0.22354743829578508
Ptpn11,0.22343278501540295
Actg1,0.22331824928175942
Fasn,0.22323022474518797
Ptprc,0.2232214261079744
Eif1b,0.2231686488468069
Thy1,0.22309831797460777
Timp1,0.22308952973234927
Cxcr2,0.22306316915929805
Cdk1,0.22304559890454959
Atm,0.22296656699942594
